	Gene name	Gene % GC content
ENSMUSG00000081460	Gm13168	52.85
ENSMUSG00000081461	Rpl30-ps11	44.06
ENSMUSG00000081463	Pou5f1-rs13	50.76
ENSMUSG00000081464	Gm14732	40.18
ENSMUSG00000081465	Gm12884	39.08
ENSMUSG00000081466	Gm14912	38.41
ENSMUSG00000081467	Gm13337	56.59
ENSMUSG00000081469	Vmn1r-ps95	42.08
ENSMUSG00000081470	Gm14131	48.4
ENSMUSG00000081471	Gm14735	40.84
ENSMUSG00000081473	Gm4853	45.94
ENSMUSG00000081474	Gm12855	50.49
ENSMUSG00000081475	Gm14558	47.24
ENSMUSG00000081476	Itpa-ps1	54.1
ENSMUSG00000081477	Gm7916	37.27
ENSMUSG00000081478	AA623943	49.86
ENSMUSG00000081480	Gm13608	50.0
ENSMUSG00000081481	Gm14293	41.94
ENSMUSG00000081483	Gm12445	48.63
ENSMUSG00000081484	Gm13492	48.42
ENSMUSG00000081485	Gm12338	49.48
ENSMUSG00000081486	Gm14452	56.96
ENSMUSG00000081487	Gm13689	49.93
ENSMUSG00000081488	Gm15368	47.32
ENSMUSG00000081490	Gm11830	46.17
ENSMUSG00000081491	Gm12778	46.25
ENSMUSG00000081492	Gm9311	48.39
ENSMUSG00000081494	Gm14130	54.61
ENSMUSG00000081495	Vmn1r-ps108	45.21
ENSMUSG00000081496	Gm13428	43.01
ENSMUSG00000081497	Gm15560	46.35
ENSMUSG00000081498	Olfr407-ps1	47.35
ENSMUSG00000081499	Gm12517	49.65
ENSMUSG00000081500	Gm15233	42.25
ENSMUSG00000081501	Gm13286	58.47
ENSMUSG00000081502	Gm5646	35.63
ENSMUSG00000081504	Gm12508	56.46
ENSMUSG00000081505	Gm8644	45.3
ENSMUSG00000081506	Amy2-ps1	39.55
ENSMUSG00000081507	Gm14993	48.78
ENSMUSG00000081508	Gm12654	43.95
ENSMUSG00000081510	Gm12768	41.5
ENSMUSG00000081511	Gm11475	56.51
ENSMUSG00000081512	Gm15821	49.78
ENSMUSG00000081513	Gm11623	59.59
ENSMUSG00000081514	Gm14673	43.63
ENSMUSG00000081515	Gm12311	46.26
ENSMUSG00000081516	Gm12470	49.67
ENSMUSG00000081517	Gm16204	44.46
ENSMUSG00000081519	Gm13331	43.08
ENSMUSG00000081520	Gm16200	46.83
ENSMUSG00000081522	Gm13170	44.48
ENSMUSG00000081523	Gm13058	40.98
ENSMUSG00000081524	Gm11658	50.99
ENSMUSG00000081525	Gm13325	45.04
ENSMUSG00000081526	Gm7219	44.44
ENSMUSG00000081528	Gm12924	33.96
ENSMUSG00000081529	Gm14884	42.35
ENSMUSG00000081530	Gm12646	41.6
ENSMUSG00000081531	Vmn1r-ps113	40.78
ENSMUSG00000081532	Gm15781	43.34
ENSMUSG00000081533	Gm15111	43.12
ENSMUSG00000081534	Slc48a1	52.3
ENSMUSG00000081536	Gm15193	43.15
ENSMUSG00000081537	Gm37832	48.68
ENSMUSG00000081538	Rps13-ps8	45.64
ENSMUSG00000081539	Gm11990	44.48
ENSMUSG00000081540	Gm12538	53.91
ENSMUSG00000081541	Gm13940	46.51
ENSMUSG00000081542	Gm12512	49.77
ENSMUSG00000081543	Gm12733	52.02
ENSMUSG00000081544	Gm13077	54.96
ENSMUSG00000081546	Gm14927	41.63
ENSMUSG00000081547	Gm11553	58.75
ENSMUSG00000081548	Gm11692	44.92
ENSMUSG00000081550	Gm15877	40.66
ENSMUSG00000081551	Gm14654	50.78
ENSMUSG00000081552	Gm12328	56.35
ENSMUSG00000081553	Ccdc50-ps	46.23
ENSMUSG00000081555	Gm6427	39.22
ENSMUSG00000081556	Gm15778	46.38
ENSMUSG00000081557	Gm5697	44.92
ENSMUSG00000081559	Gm12411	49.28
ENSMUSG00000081560	Gm9218	42.12
ENSMUSG00000081561	Gm12425	45.73
ENSMUSG00000081562	Gm11575	45.18
ENSMUSG00000081563	Gm12635	56.52
ENSMUSG00000081564	Gm13717	50.14
ENSMUSG00000081565	Rps12-ps5	50.13
ENSMUSG00000081566	Gm13756	46.99
ENSMUSG00000081567	Gm14838	38.71
ENSMUSG00000081568	Gm15032	47.93
ENSMUSG00000081569	Gm12490	49.64
ENSMUSG00000081570	Gm12192	46.61
ENSMUSG00000081571	Gm12125	49.86
ENSMUSG00000081572	Gm14138	48.86
ENSMUSG00000081573	Gm15164	50.92
ENSMUSG00000081574	Gm14429	33.83
ENSMUSG00000081575	Gm12090	45.32
ENSMUSG00000081576	Gm11279	41.25
ENSMUSG00000081577	Gm13455	48.36
ENSMUSG00000081578	Gm12611	46.39
ENSMUSG00000081579	Gm11909	46.11
ENSMUSG00000081580	Gm14129	37.3
ENSMUSG00000081583	Gm14769	42.13
ENSMUSG00000081584	Gm12716	47.86
ENSMUSG00000081585	Gm12926	46.21
ENSMUSG00000081586	Gm11544	51.97
ENSMUSG00000081587	Gm14926	46.34
ENSMUSG00000081588	Gm11661	42.8
ENSMUSG00000081589	Gm14353	47.3
ENSMUSG00000081590	Gm14413	38.02
ENSMUSG00000081591	Btf3-ps9	42.94
ENSMUSG00000081592	Gm11936	43.75
ENSMUSG00000081593	Gm11841	54.1
ENSMUSG00000081594	Gm15467	58.2
ENSMUSG00000081595	Gm13036	48.26
ENSMUSG00000081596	Gm15968	45.38
ENSMUSG00000081597	Gm14506	45.52
ENSMUSG00000081598	Gm8312	42.07
ENSMUSG00000081599	Gm14390	33.8
ENSMUSG00000081600	Gm12286	54.69
ENSMUSG00000081601	Gm13065	52.48
ENSMUSG00000081602	Gm15369	47.97
ENSMUSG00000081603	Gm14681	39.17
ENSMUSG00000081604	Gm11518	52.8
ENSMUSG00000081605	Gm15953	54.73
ENSMUSG00000081606	Gm9059	46.17
ENSMUSG00000081607	Gm15294	52.65
ENSMUSG00000081608	Gm16210	51.64
ENSMUSG00000081609	Gm12939	51.52
ENSMUSG00000081610	Gm13733	42.8
ENSMUSG00000081611	Gm13651	46.76
ENSMUSG00000081612	Xlr5e-ps	47.49
ENSMUSG00000081613	Gm12109	53.08
ENSMUSG00000081614	Gm9436	43.13
ENSMUSG00000081615	Gm12539	49.87
ENSMUSG00000081616	Gm14247	51.48
ENSMUSG00000081617	Rps13-ps7	45.11
ENSMUSG00000081618	5033423K11Rik	37.92
ENSMUSG00000081619	Gm13351	44.44
ENSMUSG00000081620	Gm14633	47.87
ENSMUSG00000081621	Gm12793	48.29
ENSMUSG00000081622	Gm5937	46.19
ENSMUSG00000081623	Gm8809	45.9
ENSMUSG00000081624	Gm6912	46.79
ENSMUSG00000081625	Rps12-ps7	48.31
ENSMUSG00000081626	Gm14369	42.81
ENSMUSG00000081627	Gm13158	50.41
ENSMUSG00000081628	Gm14804	44.49
ENSMUSG00000081629	Eif3s6-ps1	40.21
ENSMUSG00000081630	Gm11498	44.99
ENSMUSG00000081631	Gm12005	47.49
ENSMUSG00000081632	Gm11443	49.48
ENSMUSG00000081633	Gm8522	44.32
ENSMUSG00000081635	Gm15071	43.19
ENSMUSG00000081636	Gm15901	45.56
ENSMUSG00000081638	Gm14594	36.35
ENSMUSG00000081639	Gm14973	42.35
ENSMUSG00000081640	Rplp0-ps1	54.34
ENSMUSG00000081641	Gm9439	47.42
ENSMUSG00000081642	Gm13532	41.67
ENSMUSG00000081643	Gm11605	53.41
ENSMUSG00000081646	Gm15060	45.36
ENSMUSG00000081647	Gm13022	55.44
ENSMUSG00000081648	Gm13423	46.82
ENSMUSG00000081649	Olfr213	39.73
ENSMUSG00000081650	Gm16181	48.62
ENSMUSG00000081651	Gm15530	41.44
ENSMUSG00000081652	Gm14283	50.15
ENSMUSG00000081653	Gm11354	46.45
ENSMUSG00000081654	Gm5383	37.76
ENSMUSG00000081656	Gm11246	52.17
ENSMUSG00000081657	Gm15466	53.15
ENSMUSG00000081658	Gm12077	49.24
ENSMUSG00000081659	Gm14917	37.72
ENSMUSG00000081660	Gm11787	41.42
ENSMUSG00000081661	Gm14450	47.92
ENSMUSG00000081662	Gm14098	46.24
ENSMUSG00000081663	Gm11207	50.97
ENSMUSG00000081664	Gm15544	56.04
ENSMUSG00000081665	Pira1	45.87
ENSMUSG00000081666	Gm11677	50.46
ENSMUSG00000081667	Gm12883	39.37
ENSMUSG00000081668	Gm7869	38.12
ENSMUSG00000081669	Npm3-ps1	57.39
ENSMUSG00000081670	Gm15697	39.48
ENSMUSG00000081671	Gm13167	47.4
ENSMUSG00000081672	Gm13000	41.13
ENSMUSG00000081673	Gm14794	48.96
ENSMUSG00000081674	Gm6184	57.1
ENSMUSG00000081675	Gm12712	54.06
ENSMUSG00000081676	Gm11643	54.4
ENSMUSG00000081677	Mdk-ps1	54.83
ENSMUSG00000081678	Gm12959	49.63
ENSMUSG00000081679	Gm11874	40.77
ENSMUSG00000081680	Gm14473	46.14
ENSMUSG00000081681	Gm14868	44.44
ENSMUSG00000081683	Fzd10	56.52
ENSMUSG00000081684	Rps2-ps13	58.16
ENSMUSG00000081685	Gm12647	40.75
ENSMUSG00000081686	Gm11774	45.39
ENSMUSG00000081687	Gm13996	50.7
ENSMUSG00000081688	Gm12499	51.82
ENSMUSG00000081689	Gm9166	47.2
ENSMUSG00000081690	Gm12317	44.2
ENSMUSG00000081691	Gm11965	42.24
ENSMUSG00000081692	Gm15971	45.5
ENSMUSG00000081693	Gm13297	44.54
ENSMUSG00000081694	Olfr660-ps1	46.4
ENSMUSG00000081695	Rpsa-ps5	54.46
ENSMUSG00000081696	Gm12717	48.02
ENSMUSG00000081697	Gm14714	42.82
ENSMUSG00000081698	Gm12329	54.34
ENSMUSG00000081699	Gm15213	38.89
ENSMUSG00000081700	Atp5k-ps2	53.81
ENSMUSG00000081701	Gm13890	46.67
ENSMUSG00000081703	Gm6285	51.61
ENSMUSG00000081704	Gm14603	43.3
ENSMUSG00000081705	Gm12582	45.48
ENSMUSG00000081706	Gm7927	49.43
ENSMUSG00000081707	Gm11343	45.74
ENSMUSG00000081709	Gm15022	46.92
ENSMUSG00000081711	Gm11785	41.43
ENSMUSG00000081712	Gm12096	41.46
ENSMUSG00000081713	Gm12170	45.67
ENSMUSG00000081714	Gm12782	43.19
ENSMUSG00000081715	Rps11-ps3	50.41
ENSMUSG00000081716	Gm14839	48.23
ENSMUSG00000081717	Vmn1r-ps106	43.6
ENSMUSG00000081718	Gm8261	43.71
ENSMUSG00000081719	Gm13726	49.87
ENSMUSG00000081720	Gm12391	50.11
ENSMUSG00000081721	Gm13882	54.49
ENSMUSG00000081722	Gm11763	50.32
ENSMUSG00000081723	Gm15931	48.79
ENSMUSG00000081724	Olfr129	37.41
ENSMUSG00000081728	Gm14930	45.86
ENSMUSG00000081729	Hspa9-ps1	44.85
ENSMUSG00000081730	Gm13785	43.04
ENSMUSG00000081731	Calr-ps	46.8
ENSMUSG00000081732	Gm15495	44.44
ENSMUSG00000081733	Gm12852	47.15
ENSMUSG00000081734	Gm12740	43.18
ENSMUSG00000081735	Gm14530	39.64
ENSMUSG00000081736	Gm14971	41.03
ENSMUSG00000081737	Olfr359-ps1	44.6
ENSMUSG00000081738	Hmgb1-ps2	46.54
ENSMUSG00000081739	Mdm4-ps	41.62
ENSMUSG00000081740	Gm14279	47.59
ENSMUSG00000081741	Gm14106	44.52
ENSMUSG00000081742	Gm9051	46.69
ENSMUSG00000081743	Gm4911	48.36
ENSMUSG00000081744	Gm5721	45.87
ENSMUSG00000081745	Gm15549	50.96
ENSMUSG00000081746	Gm13925	39.23
ENSMUSG00000081747	Rpl7a-ps9	50.06
ENSMUSG00000081748	Gm14870	44.23
ENSMUSG00000081749	Gm12241	56.2
ENSMUSG00000081750	Gm4995	60.88
ENSMUSG00000081751	Gm14251	51.97
ENSMUSG00000081752	Sms-ps	44.96
ENSMUSG00000081755	Mup-ps23	54.21
ENSMUSG00000081756	Gm12291	50.16
ENSMUSG00000081757	Gm13798	44.6
ENSMUSG00000081758	Gm11460	46.26
ENSMUSG00000081761	Gm6298	50.87
ENSMUSG00000081762	Gm13738	47.76
ENSMUSG00000081763	Gm9435	49.14
ENSMUSG00000081765	Gm14677	39.92
ENSMUSG00000081766	2210409E12Rik	51.45
ENSMUSG00000081767	Gm12067	40.39
ENSMUSG00000081768	Gm12755	40.79
ENSMUSG00000081769	Gm12216	47.77
ENSMUSG00000081770	Rbpj-ps1	43.14
ENSMUSG00000081771	Gm15381	36.85
ENSMUSG00000081772	Gm13131	32.09
ENSMUSG00000081773	Gm8302	53.29
ENSMUSG00000081774	Gm13866	46.07
ENSMUSG00000081775	Gm12420	48.95
ENSMUSG00000081777	Gm14159	51.44
ENSMUSG00000081778	Gm6325	37.97
ENSMUSG00000081779	Gm21998	50.23
ENSMUSG00000081781	Gm14753	48.78
ENSMUSG00000081782	Gm15152	39.3
ENSMUSG00000081783	Gm15599	52.49
ENSMUSG00000081784	Gm13281	49.91
ENSMUSG00000081786	Gm11897	44.08
ENSMUSG00000081787	Gm13991	50.93
ENSMUSG00000081788	Gm5898	50.8
ENSMUSG00000081789	Gm11893	36.46
ENSMUSG00000081791	Gm12190	49.2
ENSMUSG00000081792	Anp32b-ps1	46.44
ENSMUSG00000081793	5730416F02Rik	55.67
ENSMUSG00000081796	Gm9005	52.55
ENSMUSG00000081797	Gm8662	47.04
ENSMUSG00000081798	Gm8152	48.04
ENSMUSG00000081799	Gm14071	49.31
ENSMUSG00000081800	Gm14200	52.08
ENSMUSG00000081801	Dnmt3l-ps1	52.67
ENSMUSG00000081803	Gm15282	43.0
ENSMUSG00000081804	Xlr5d-ps	47.41
ENSMUSG00000081805	Gm14335	42.59
ENSMUSG00000081806	Gm14901	49.12
ENSMUSG00000081807	Gm14849	38.7
ENSMUSG00000081809	Gm15539	46.47
ENSMUSG00000081810	Gm11878	45.25
ENSMUSG00000081811	Gm12713	45.71
ENSMUSG00000081812	Gm4789	44.41
ENSMUSG00000081813	Gm12806	42.16
ENSMUSG00000081814	Gm14695	46.32
ENSMUSG00000081816	Gm15528	55.09
ENSMUSG00000081817	Gm13590	41.31
ENSMUSG00000081819	Gm12722	46.65
ENSMUSG00000081820	Gm12029	51.92
ENSMUSG00000081821	Gm15158	44.21
ENSMUSG00000081822	Gm15626	42.51
ENSMUSG00000081823	Cyp4a28-ps	42.57
ENSMUSG00000081824	Ndufs5-ps	52.98
ENSMUSG00000081827	Gm15103	44.48
ENSMUSG00000081828	Gm11420	44.53
ENSMUSG00000081829	Gm15460	46.8
ENSMUSG00000081830	Gm13475	38.89
ENSMUSG00000081831	Gm7405	48.48
ENSMUSG00000081832	Gm6897	41.3
ENSMUSG00000081833	Gm13669	50.33
ENSMUSG00000081834	Gm13770	51.8
ENSMUSG00000081835	Gm11790	46.15
ENSMUSG00000081836	Olfr1180	32.51
ENSMUSG00000081837	Gm14649	47.84
ENSMUSG00000081838	Gm13038	51.42
ENSMUSG00000081839	Gm13454	39.34
ENSMUSG00000081840	Gm15220	49.6
ENSMUSG00000081841	Gm13444	53.07
ENSMUSG00000081842	Rap1a-ps2	40.79
ENSMUSG00000081843	Gm7851	57.59
ENSMUSG00000081844	Gm11241	47.54
ENSMUSG00000081845	Prkaca-ps1	48.53
ENSMUSG00000081847	Btf3-ps7	48.19
ENSMUSG00000081848	Gm14925	47.03
ENSMUSG00000081849	Zar1-ps	51.12
ENSMUSG00000081850		
ENSMUSG00000081851	Gm13323	48.05
ENSMUSG00000081852	Gm12281	47.32
ENSMUSG00000081853	Gm13735	51.64
ENSMUSG00000081854	Gm11447	45.69
ENSMUSG00000081855	Rpl17-ps5	47.93
ENSMUSG00000081856	Gm14580	41.23
ENSMUSG00000081857	Gm13624	50.87
ENSMUSG00000081858	Gm14514	46.81
ENSMUSG00000081859	Olfr650-ps1	45.92
ENSMUSG00000081860	Gm11533	55.56
ENSMUSG00000081861	Gm14441	47.22
ENSMUSG00000081862	Gm12413	50.32
ENSMUSG00000081863	Gm12780	54.11
ENSMUSG00000081864	Olfr405-ps1	42.87
ENSMUSG00000081865	Gm15484	42.03
ENSMUSG00000081866	Gm12401	46.05
ENSMUSG00000081868	Gm12039	50.56
ENSMUSG00000081869	Gm15002	45.49
ENSMUSG00000081870	Gm15141	35.37
ENSMUSG00000081871	Gm11488	42.29
ENSMUSG00000081872	Gm15572	50.08
ENSMUSG00000081873	Gm15197	55.02
ENSMUSG00000081874	Gm14983	45.51
ENSMUSG00000081875	Gm15223	40.56
ENSMUSG00000081876	Gm12644	54.62
ENSMUSG00000081877	Gm8858	36.26
ENSMUSG00000081878	Gm13739	45.66
ENSMUSG00000081879	Gm11933	54.67
ENSMUSG00000081880	Gm5385	54.91
ENSMUSG00000081881	Gm14752	42.66
ENSMUSG00000081882	Gm14294	49.8
ENSMUSG00000081883	Gm15574	49.33
ENSMUSG00000081884	Gm11821	44.94
ENSMUSG00000081885	Gm13231	38.97
ENSMUSG00000081886	Gm6175	53.0
ENSMUSG00000081887	Gm12097	46.88
ENSMUSG00000081888	Spcs2-ps	47.87
ENSMUSG00000081889	Gm13188	55.14
ENSMUSG00000081890	Gm11243	49.49
ENSMUSG00000081891	Gm14660	50.61
ENSMUSG00000081892	Gm8864	53.66
ENSMUSG00000081893	Gm13273	52.36
ENSMUSG00000081894	Gm14212	42.01
ENSMUSG00000081895	Rpl17-ps10	47.57
ENSMUSG00000081896	Gm5389	52.89
ENSMUSG00000081897	Gm15067	46.15
ENSMUSG00000081898	Gm5754	42.15
ENSMUSG00000081900	Gm14985	42.75
ENSMUSG00000081901	Gm15357	40.93
ENSMUSG00000081903	Gm11387	40.91
ENSMUSG00000081904	Gm13419	38.01
ENSMUSG00000081905	Gm11370	50.0
ENSMUSG00000081906	Rpl9-ps1	45.66
ENSMUSG00000081907	Gm13731	43.37
ENSMUSG00000081908	Olfr1147-ps1	41.07
ENSMUSG00000081909	Gm11341	49.44
ENSMUSG00000081910	Gm15986	47.75
ENSMUSG00000081911	Mrps36-ps2	48.54
ENSMUSG00000081912	Vmn1r-ps127	42.47
ENSMUSG00000081913	Gm11803	56.08
ENSMUSG00000081914	Vmn1r-ps109	41.38
ENSMUSG00000081916	Gm12899	52.81
ENSMUSG00000081917	Gm15209	47.0
ENSMUSG00000081918	Gm14613	44.38
ENSMUSG00000081919	Gm12399	41.38
ENSMUSG00000081920	Selenot-ps	43.84
ENSMUSG00000081921	Gm12858	46.15
ENSMUSG00000081923	Gm9062	52.27
ENSMUSG00000081924	Gm11191	48.55
ENSMUSG00000081925	Rpl31-ps22	48.37
ENSMUSG00000081926	Gm15536	50.88
ENSMUSG00000081928	Gm15105	63.24
ENSMUSG00000081929	Rps11-ps2	49.34
ENSMUSG00000081931	Gm15211	43.83
ENSMUSG00000081932	Gm12331	45.98
ENSMUSG00000081933	Gm14767	58.19
ENSMUSG00000081934	Gm12193	54.88
ENSMUSG00000081935	Gm16186	42.38
ENSMUSG00000081936	Gm11244	50.21
ENSMUSG00000081937	Gm14599	34.12
ENSMUSG00000081938	Gm15039	55.31
ENSMUSG00000081939	Gm15399	40.87
ENSMUSG00000081940	Xlr3e-ps	44.19
ENSMUSG00000081941	Gm11218	46.71
ENSMUSG00000081942	Gm15149	46.39
ENSMUSG00000081943	Gm9078	46.93
ENSMUSG00000081944	Gm12276	45.51
ENSMUSG00000081945	Olfr607	37.03
ENSMUSG00000081946	Gm11472	48.38
ENSMUSG00000081947	Gm14512	50.43
ENSMUSG00000081948	Olfr1191-ps1	35.37
ENSMUSG00000081949	Gm14392	38.04
ENSMUSG00000081950	Gm11600	54.02
ENSMUSG00000081951	Gm15352	51.11
ENSMUSG00000081952	Gm12178	51.82
ENSMUSG00000081953	Gm12435	51.08
ENSMUSG00000081954	Gm13626	48.93
ENSMUSG00000081955	Olfr999-ps1	38.99
ENSMUSG00000081957	Ak3l2-ps	51.49
ENSMUSG00000081958	Gm11594	54.94
ENSMUSG00000081959	Gm16480	49.16
ENSMUSG00000081960	Mageb17-ps	50.38
ENSMUSG00000081961	Olfr383-ps1	44.49
ENSMUSG00000081962	Gm12773	42.42
ENSMUSG00000081964	Gm11873	50.38
ENSMUSG00000081965	Gm11620	61.68
ENSMUSG00000081966	Gm13900	47.79
ENSMUSG00000081967	Gm14017	51.3
ENSMUSG00000081968	Rpl23a-ps2	49.16
ENSMUSG00000081969	Gm16471	46.6
ENSMUSG00000081970	Gm16057	41.97
ENSMUSG00000081971	Gm14115	49.38
ENSMUSG00000081972	Gm16397	49.8
ENSMUSG00000081973	Gm13600	44.12
ENSMUSG00000081974	Gm11960	45.8
ENSMUSG00000081975	Gm12482	46.83
ENSMUSG00000081976	Gm14823	44.12
ENSMUSG00000081978	Gm14895	44.97
ENSMUSG00000081979	Rps8-ps3	49.38
ENSMUSG00000081980	Gm13702	47.88
ENSMUSG00000081982	Sult2a-ps2	37.29
ENSMUSG00000081984	Dnajb3	55.85
ENSMUSG00000081985	Gng2-ps1	51.61
ENSMUSG00000081986	Gm14841	37.07
ENSMUSG00000081987	Gm12639	39.76
ENSMUSG00000081988	Gm15746	48.0
ENSMUSG00000081991	Gm13859	45.56
ENSMUSG00000081992	Gm13408	46.37
ENSMUSG00000081993	Gm8475	44.87
ENSMUSG00000081994	Gm14517	38.28
ENSMUSG00000081995	Gm11719	43.3
ENSMUSG00000081996	Gm7153	63.52
ENSMUSG00000081998	Gm13245	55.38
ENSMUSG00000081999	Gm13461	47.53
ENSMUSG00000082000	Gm12488	55.11
ENSMUSG00000082001	Gm15607	50.56
ENSMUSG00000082002	Gm6568	38.59
ENSMUSG00000082005	Gm7189	51.52
ENSMUSG00000082006	Gm13649	51.16
ENSMUSG00000082007	Gm15206	45.37
ENSMUSG00000082008	Gm12390	51.13
ENSMUSG00000082009	Gm12954	46.04
ENSMUSG00000082010	Olfr1171-ps1	33.13
ENSMUSG00000082011	Gm15043	55.74
ENSMUSG00000082012	Gm5257	52.66
ENSMUSG00000082013	Gm13216	54.99
ENSMUSG00000082014	Gm11371	45.03
ENSMUSG00000082015	Gm13452	43.48
ENSMUSG00000082016	Pgam1-ps2	57.25
ENSMUSG00000082017	Gm11229	43.71
ENSMUSG00000082018	Gm6322	50.68
ENSMUSG00000082019	Gm15231	39.6
ENSMUSG00000082020	Gm14182	60.0
ENSMUSG00000082021	Gm14991	38.28
ENSMUSG00000082022	Gm12386	41.28
ENSMUSG00000082023	Gm14407	53.24
ENSMUSG00000082024	Gm11794	35.86
ENSMUSG00000082025	Gm14359	46.05
ENSMUSG00000082026	Gm5764	52.99
ENSMUSG00000082027	Gm11416	49.75
ENSMUSG00000082028	Gm1826	53.7
ENSMUSG00000082029	H3f3c	51.09
ENSMUSG00000082030	Gm13081	44.4
ENSMUSG00000082031	Gm8097	54.16
ENSMUSG00000082032	Gm12271	47.83
ENSMUSG00000082033	Mageb10-ps	49.04
ENSMUSG00000082035	Rpl17-ps8	47.34
ENSMUSG00000082036	Gm13724	46.32
ENSMUSG00000082037	Vmn1r-ps116	34.59
ENSMUSG00000082038	Gm12071	43.5
ENSMUSG00000082039	Gm15653	54.13
ENSMUSG00000082040	Gm12046	55.29
ENSMUSG00000082042	Gm15923	44.05
ENSMUSG00000082043	Gm12848	49.82
ENSMUSG00000082044	Snrpert	41.58
ENSMUSG00000082045	Gm11585	47.63
ENSMUSG00000082046	Gm14464	51.59
ENSMUSG00000082047	Gm12948	49.85
ENSMUSG00000082048	Gm11481	49.02
ENSMUSG00000082049	Gm12105	32.99
ENSMUSG00000082051	Gm16072	44.55
ENSMUSG00000082052	Ywhaq-ps2	49.14
ENSMUSG00000082053	Gm11220	53.05
ENSMUSG00000082054	Psmb6-ps	51.19
ENSMUSG00000082056	Gm13745	47.63
ENSMUSG00000082057	Gm15789	37.31
ENSMUSG00000082058	Gm11923	44.49
ENSMUSG00000082059	Gm15183	45.11
ENSMUSG00000082060	Gm15048	44.1
ENSMUSG00000082061	Gm12726	52.58
ENSMUSG00000082062	Ftl2-ps	58.7
ENSMUSG00000082063	Gm12993	50.91
ENSMUSG00000082064	Rpl5-ps2	45.9
ENSMUSG00000082065	Mup-ps14	39.41
ENSMUSG00000082066	Gm13904	51.73
ENSMUSG00000082068	Gm2673	46.89
ENSMUSG00000082069	Gm16242	42.84
ENSMUSG00000082070	Gm1866	44.03
ENSMUSG00000082071	Pramex2	38.91
ENSMUSG00000082072	Gm15785	41.64
ENSMUSG00000082073	Gm13114	60.38
ENSMUSG00000082074	Gm12661	47.17
ENSMUSG00000082076	Gm8659	51.85
ENSMUSG00000082077	Olfr260-ps1	46.14
ENSMUSG00000082078	Gm12098	43.79
ENSMUSG00000082079	Dnmt3c	45.35
ENSMUSG00000082080	Gm9246	49.97
ENSMUSG00000082081	Gm14358	43.04
ENSMUSG00000082082	Gm13230	34.49
ENSMUSG00000082083	Gm14728	43.29
ENSMUSG00000082084	Usp17le-ps	49.11
ENSMUSG00000082085	Gm6441	50.86
ENSMUSG00000082087	Gm12138	53.73
ENSMUSG00000082088	Gm15753	51.62
ENSMUSG00000082089	Gm12431	50.6
ENSMUSG00000082090	Gm16481	50.04
ENSMUSG00000082091	Gm13922	35.9
ENSMUSG00000082092	Gm14665	47.76
ENSMUSG00000082093	Gm15928	51.07
ENSMUSG00000082095	Gm11991	45.16
ENSMUSG00000082096	Gm13505	45.78
ENSMUSG00000082097	Gm14039	47.52
ENSMUSG00000082098	Gm15377	46.35
ENSMUSG00000082099	Gm12013	43.87
ENSMUSG00000082100	Glns-ps1	53.49
ENSMUSG00000082101	Slfn14	44.2
ENSMUSG00000082103	Gm15320	46.34
ENSMUSG00000082104	Gm15933	39.7
ENSMUSG00000082106	Mageb16-ps1	44.19
ENSMUSG00000082107	Gm16216	49.14
ENSMUSG00000082108	Gm13777	54.78
ENSMUSG00000082109	Rpl19-ps12	54.15
ENSMUSG00000082110	Gm11196	45.82
ENSMUSG00000082111	Gm12479	46.94
ENSMUSG00000082112	Gm14445	33.64
ENSMUSG00000082113	Gm13915	39.96
ENSMUSG00000082114	Gm13489	44.49
ENSMUSG00000082115	Gm15490	48.58
ENSMUSG00000082116	Gm12188	60.97
ENSMUSG00000082117	Gm4994	45.91
ENSMUSG00000082118	Gm13862	50.25
ENSMUSG00000082119	Cyp2j14-ps	40.78
ENSMUSG00000082120	Gm15720	46.45
ENSMUSG00000082121	Gm8199	54.07
ENSMUSG00000082122	Gm11809	46.11
ENSMUSG00000082123	Gm16149	48.87
ENSMUSG00000082125	Gm14679	45.43
ENSMUSG00000082126	Gm14975	43.83
ENSMUSG00000082127	Gm13577	42.44
ENSMUSG00000082128	Gm11824	55.44
ENSMUSG00000082129	Gm14502	43.36
ENSMUSG00000082130	Gm15799	51.21
ENSMUSG00000082132	Gm13541	41.7
ENSMUSG00000082134	Gm15236	51.72
ENSMUSG00000082135	Gm14988	39.65
ENSMUSG00000082136	Gm15660	47.91
ENSMUSG00000082138	Gm11905	41.45
ENSMUSG00000082139	Gm16463	43.59
ENSMUSG00000082140	Gm13094	54.52
ENSMUSG00000082141	Gm11212	49.56
ENSMUSG00000082142	Gm13518	39.91
ENSMUSG00000082143	Gm12864	50.5
ENSMUSG00000082144	Gm12788	48.7
ENSMUSG00000082145	Gm12312	44.72
ENSMUSG00000082146	Rpl23a-ps13	48.07
ENSMUSG00000082147	Gm14570	43.48
ENSMUSG00000082148	Gm12266	50.21
ENSMUSG00000082149	Gm13002	47.21
ENSMUSG00000082151	Gm11810	47.15
ENSMUSG00000082152	Gm13655	50.2
ENSMUSG00000082154	Gm16464	47.85
ENSMUSG00000082155	Gm7164	51.56
ENSMUSG00000082156	Gm12008	43.58
ENSMUSG00000082157	Gm12038	48.79
ENSMUSG00000082158	Gm14116	41.12
ENSMUSG00000082159	Gm7910	46.71
ENSMUSG00000082160	Gm11578	49.02
ENSMUSG00000082161	Gm11350	38.05
ENSMUSG00000082162	Gm14701	51.44
